L1,L2,acc,alpha,dim_hid,eps,hid_function,mini_batch_size,out_function,rmse
None,None,0.050625,0.1,20,200,logsig,1,linear,0.10125
None,None,0.060000000000000005,0.1,30,200,logsig,1,linear,0.12
None,None,0.15250000000000002,0.1,20,200,tanh,1,linear,0.305
None,None,0.8568749999999998,0.1,30,200,tanh,1,linear,1.71375
None,None,0.016875,0.1,20,200,logsig,1,logsig,0.03375
None,None,0.01125,0.1,30,200,logsig,1,logsig,0.0225
None,None,0.009375,0.1,20,200,tanh,1,logsig,0.01875
None,None,0.01625,0.1,30,200,tanh,1,logsig,0.0325
None,None,0.063125,0.1,20,200,logsig,12,linear,0.12625
None,None,0.07875000000000001,0.1,30,200,logsig,12,linear,0.1575
None,None,0.054375,0.1,20,200,tanh,12,linear,0.10875
None,None,0.065,0.1,30,200,tanh,12,linear,0.13
None,None,0.106875,0.1,20,200,logsig,12,logsig,0.21375
None,None,0.11375,0.1,30,200,logsig,12,logsig,0.2275
None,None,0.04,0.1,20,200,tanh,12,logsig,0.08
None,None,0.04,0.1,30,200,tanh,12,logsig,0.08
None,None,0.056875,0.1,20,500,logsig,1,linear,0.11375
None,None,0.055625,0.1,30,500,logsig,1,linear,0.11125
None,None,0.145625,0.1,20,500,tanh,1,linear,0.29125
None,None,0.8574999999999999,0.1,30,500,tanh,1,linear,1.715
None,None,0.010625,0.1,20,500,logsig,1,logsig,0.02125
None,None,0.0125,0.1,30,500,logsig,1,logsig,0.025
None,None,0.011875,0.1,20,500,tanh,1,logsig,0.02375
None,None,0.0125,0.1,30,500,tanh,1,logsig,0.025
None,None,0.0675,0.1,20,500,logsig,12,linear,0.135
None,None,0.045,0.1,30,500,logsig,12,linear,0.09
None,None,0.0475,0.1,20,500,tanh,12,linear,0.095
None,None,0.036250000000000004,0.1,30,500,tanh,12,linear,0.0725
None,None,0.043125,0.1,20,500,logsig,12,logsig,0.08625
None,None,0.052500000000000005,0.1,30,500,logsig,12,logsig,0.105
None,None,0.0225,0.1,20,500,tanh,12,logsig,0.045
None,None,0.028125,0.1,30,500,tanh,12,logsig,0.05625
None,None,0.113125,0.3,20,200,logsig,1,linear,0.22625
None,None,0.8656249999999999,0.3,30,200,logsig,1,linear,1.73125
None,None,0.8468749999999998,0.3,20,200,tanh,1,linear,1.69375
None,None,0.8424999999999999,0.3,30,200,tanh,1,linear,1.685
None,None,0.019375000000000003,0.3,20,200,logsig,1,logsig,0.03875
None,None,0.019375000000000003,0.3,30,200,logsig,1,logsig,0.03875
None,None,0.021875000000000002,0.3,20,200,tanh,1,logsig,0.04375
None,None,0.019375,0.3,30,200,tanh,1,logsig,0.03875
None,None,0.080625,0.3,20,200,logsig,12,linear,0.16125
None,None,0.11500000000000002,0.3,30,200,logsig,12,linear,0.23
None,None,0.12437500000000001,0.3,20,200,tanh,12,linear,0.24875
None,None,0.081875,0.3,30,200,tanh,12,linear,0.16375
None,None,0.045,0.3,20,200,logsig,12,logsig,0.09
None,None,0.045625,0.3,30,200,logsig,12,logsig,0.09125
None,None,0.028750000000000005,0.3,20,200,tanh,12,logsig,0.0575
None,None,0.031875,0.3,30,200,tanh,12,logsig,0.06375
None,None,0.8374999999999999,0.3,20,500,logsig,1,linear,1.675
None,None,0.8749999999999999,0.3,30,500,logsig,1,linear,1.75
None,None,0.8424999999999999,0.3,20,500,tanh,1,linear,1.685
None,None,0.8537499999999999,0.3,30,500,tanh,1,linear,1.7075
None,None,0.010624999999999999,0.3,20,500,logsig,1,logsig,0.02125
None,None,0.0075,0.3,30,500,logsig,1,logsig,0.015
None,None,0.02375,0.3,20,500,tanh,1,logsig,0.0475
None,None,0.030000000000000002,0.3,30,500,tanh,1,logsig,0.06
None,None,0.051875000000000004,0.3,20,500,logsig,12,linear,0.10375
None,None,0.06875,0.3,30,500,logsig,12,linear,0.1375
None,None,0.060000000000000005,0.3,20,500,tanh,12,linear,0.12
None,None,0.050625,0.3,30,500,tanh,12,linear,0.10125
None,None,0.026250000000000002,0.3,20,500,logsig,12,logsig,0.0525
None,None,0.024375,0.3,30,500,logsig,12,logsig,0.04875
None,None,0.02875,0.3,20,500,tanh,12,logsig,0.0575
None,None,0.01375,0.3,30,500,tanh,12,logsig,0.0275
None,0.01,0.061250000000000006,0.1,20,200,logsig,1,linear,47806.11760474828
None,0.01,0.039375,0.1,30,200,logsig,1,linear,56853.88418372397
None,0.01,0.32875,0.1,20,200,tanh,1,linear,386.49088380736634
None,0.01,0.86625,0.1,30,200,tanh,1,linear,None
None,0.01,0.011250000000000001,0.1,20,200,logsig,1,logsig,116304.95972873714
None,0.01,0.020624999999999998,0.1,30,200,logsig,1,logsig,110904.13707725696
None,0.01,0.01375,0.1,20,200,tanh,1,logsig,94292.76081419043
None,0.01,0.015,0.1,30,200,tanh,1,logsig,87275.94987188304
None,0.01,0.06125,0.1,20,200,logsig,12,linear,1020.7767235726227
None,0.01,0.058750000000000004,0.1,30,200,logsig,12,linear,1212.5996016392542
None,0.01,0.053750000000000006,0.1,20,200,tanh,12,linear,671.2916902168944
None,0.01,0.068125,0.1,30,200,tanh,12,linear,729.8486898998169
None,0.01,0.115,0.1,20,200,logsig,12,logsig,2594.0834883019033
None,0.01,0.10875000000000001,0.1,30,200,logsig,12,logsig,2674.1933619557944
None,0.01,0.028125000000000004,0.1,20,200,tanh,12,logsig,2540.75201433453
None,0.01,0.039375,0.1,30,200,tanh,12,logsig,2658.1151114047707
None,0.01,0.04125,0.1,20,500,logsig,1,linear,158333.92185196347
None,0.01,0.050625,0.1,30,500,logsig,1,linear,194972.372219105
None,0.01,0.281875,0.1,20,500,tanh,1,linear,399.2570262225687
None,0.01,0.8712499999999999,0.1,30,500,tanh,1,linear,None
None,0.01,0.009375000000000001,0.1,20,500,logsig,1,logsig,400934.76125593216
None,0.01,0.008125,0.1,30,500,logsig,1,logsig,427265.705283397
None,0.01,0.0125,0.1,20,500,tanh,1,logsig,357430.17982162925
None,0.01,0.01625,0.1,30,500,tanh,1,logsig,366063.78036457405
None,0.01,0.05,0.1,20,500,logsig,12,linear,1473.8488355551467
None,0.01,0.069375,0.1,30,500,logsig,12,linear,1802.9764687191723
None,0.01,0.053125000000000006,0.1,20,500,tanh,12,linear,1032.5873672723928
None,0.01,0.036250000000000004,0.1,30,500,tanh,12,linear,1193.7643143008606
None,0.01,0.052500000000000005,0.1,20,500,logsig,12,logsig,6009.509182638602
None,0.01,0.050625,0.1,30,500,logsig,12,logsig,6171.1460244815125
None,0.01,0.02375,0.1,20,500,tanh,12,logsig,4428.939650340951
None,0.01,0.028125,0.1,30,500,tanh,12,logsig,4370.047274667904
None,0.01,0.8668749999999998,0.3,20,200,logsig,1,linear,None
None,0.01,0.8531249999999999,0.3,30,200,logsig,1,linear,None
None,0.01,0.8531249999999999,0.3,20,200,tanh,1,linear,None
None,0.01,0.8674999999999999,0.3,30,200,tanh,1,linear,None
None,0.01,0.008125,0.3,20,200,logsig,1,logsig,805683.955562624
None,0.01,0.015000000000000001,0.3,30,200,logsig,1,logsig,768853.1331630009
None,0.01,0.029375,0.3,20,200,tanh,1,logsig,1069364.1450475864
None,0.01,0.014375,0.3,30,200,tanh,1,logsig,1109108.602762762
None,0.01,0.054375,0.3,20,200,logsig,12,linear,2057.273920493259
None,0.01,0.055625,0.3,30,200,logsig,12,linear,2418.1251060643617
None,0.01,0.08625,0.3,20,200,tanh,12,linear,1230.2238347032212
None,0.01,0.098125,0.3,30,200,tanh,12,linear,1016.2140872920703
None,0.01,0.0475,0.3,20,200,logsig,12,logsig,6896.41020835287
None,0.01,0.040625,0.3,30,200,logsig,12,logsig,6985.089854393704
None,0.01,0.033125,0.3,20,200,tanh,12,logsig,4927.590441911149
None,0.01,0.03,0.3,30,200,tanh,12,logsig,4972.573932138493
None,0.01,0.855,0.3,20,500,logsig,1,linear,None
None,0.01,0.860625,0.3,30,500,logsig,1,linear,None
None,0.01,0.8487499999999999,0.3,20,500,tanh,1,linear,None
None,0.01,0.8612499999999998,0.3,30,500,tanh,1,linear,None
None,0.01,0.01125,0.3,20,500,logsig,1,logsig,29868339.064893678
None,0.01,0.010624999999999999,0.3,30,500,logsig,1,logsig,31553812.67602572
None,0.01,0.016875,0.3,20,500,tanh,1,logsig,38290569.95415766
None,0.01,0.020625,0.3,30,500,tanh,1,logsig,39747505.851725094
None,0.01,0.036250000000000004,0.3,20,500,logsig,12,linear,3803.487094809605
None,0.01,0.060000000000000005,0.3,30,500,logsig,12,linear,4617.392397858156
None,0.01,0.081875,0.3,20,500,tanh,12,linear,1907.4701135028981
None,0.01,0.11375,0.3,30,500,tanh,12,linear,2283.9613483309913
None,0.01,0.025,0.3,20,500,logsig,12,logsig,12697.570980890314
None,0.01,0.030625,0.3,30,500,logsig,12,logsig,12975.660132064628
None,0.01,0.023125,0.3,20,500,tanh,12,logsig,8232.590220349943
None,0.01,0.015000000000000001,0.3,30,500,tanh,12,logsig,8366.977418218812
